RUN_ID,OBJ_TYPE,FAIL_TYPE,TRANSPORT_FAIL,SEARCH_FAIL,FETCH_FAIL,DELIVER_FAIL,PERCEPT_FAIL,NAV_FAIL,MANIP_FAIL,TIME_SEC,
36,SPOON,SUM,1,0,1,0,0,11,44,0,
36,,SUM,2,0,2,0,0,37,91,6.8225240707,
36,,,,,,,,,,,
37,,,,,,,,,,,
37,BOWL,SUM,1,0,1,0,4,8,44,0,
37,CUP,SUM,0,0,0,0,0,2,6,7.3185169697,
37,SPOON,SUM,1,0,1,0,16,8,44,0,
37,,SUM,2,0,2,0,20,18,94,7.3185169697,
37,,,,,,,,,,,
38,,,,,,,,,,,
38,BOWL,SUM,1,0,1,0,0,10,44,0,
38,CUP,SUM,0,0,0,0,24,4,11,24.1062800884,
38,SPOON,SUM,1,0,1,0,0,15,44,0,
38,,SUM,2,0,2,0,24,29,99,24.1062800884,
38,,,,,,,,,,,
39,,,,,,,,,,,
39,BOWL,SUM,1,0,0,1,0,4,11,0,
39,CUP,SUM,0,0,0,0,8,64,12,38.4845230579,
39,SPOON,SUM,0,0,0,0,0,2,4,11.5273220539,
39,,SUM,1,0,0,1,8,70,27,50.0118451118,
39,,,,,,,,,,,
40,,,,,,,,,,,
40,BOWL,SUM,0,0,0,0,0,3,18,12.0510649681,
40,CUP,SUM,0,0,0,0,16,3,4,15.7503910065,
40,SPOON,SUM,1,1,0,0,8,71,0,0,
40,,SUM,1,1,0,0,24,77,22,27.8014559746,
40,,,,,,,,,,,
41,,,,,,,,,,,
41,BOWL,SUM,0,0,0,0,8,9,13,14.842140913,
41,CUP,SUM,1,0,1,0,12,13,11,0,
41,SPOON,SUM,0,0,0,0,48,6,12,45.0321519375,
41,,SUM,1,0,1,0,68,28,36,59.8742928505,
41,,,,,,,,,,,
42,,,,,,,,,,,
42,BOWL,SUM,1,0,0,1,32,9,11,0,
42,CUP,SUM,0,0,0,0,0,0,4,7.368407011,
42,SPOON,SUM,1,0,1,0,8,15,44,0,
42,,SUM,2,0,1,1,40,24,59,7.368407011,
42,,,,,,,,,,,
43,,,,,,,,,,,
43,BOWL,SUM,1,0,1,0,0,12,44,0,
43,CUP,SUM,0,0,0,0,0,0,6,6.9356291294,
43,SPOON,SUM,0,0,0,0,0,17,16,15.2582910061,
43,,SUM,1,0,1,0,0,29,66,22.1939201355,
43,,,,,,,,,,,
44,,,,,,,,,,,
44,BOWL,SUM,1,0,0,1,16,4,11,0,
44,CUP,SUM,0,0,0,0,0,3,9,8.5127358437,
44,SPOON,SUM,1,0,1,0,0,24,44,0,
44,,SUM,2,0,1,1,16,31,64,8.5127358437,
44,,,,,,,,,,,
45,,,,,,,,,,,
45,BOWL,SUM,0,0,0,0,0,0,8,12.8065440655,
45,CUP,SUM,0,0,0,0,0,3,4,7.3045499325,
45,SPOON,SUM,1,0,1,0,0,157,24,0,
45,,SUM,1,0,1,0,0,160,36,20.111093998,
45,,,,,,,,,,,
46,,,,,,,,,,,
46,BOWL,SUM,1,0,0,1,0,2,11,0,
46,CUP,SUM,1,1,0,0,8,71,0,0,
46,SPOON,SUM,1,0,1,0,56,13,44,0,
46,,SUM,3,1,1,1,64,86,55,0,
46,,,,,,,,,,,
47,,,,,,,,,,,
47,BOWL,SUM,1,0,1,0,0,26,44,0,
47,CUP,SUM,1,0,1,0,8,13,43,0,
47,SPOON,SUM,0,0,0,0,0,1,8,13.2460870743,
47,,SUM,2,0,2,0,8,40,95,13.2460870743,
47,,,,,,,,,,,
48,,,,,,,,,,,
48,BOWL,SUM,1,0,1,0,0,4,44,0,
48,CUP,SUM,1,0,1,0,0,10,33,0,
48,SPOON,SUM,1,1,0,0,8,41,0,0,
48,,SUM,3,1,2,0,8,55,77,0,
48,,,,,,,,,,,
49,,,,,,,,,,,
49,BOWL,SUM,0,0,0,0,0,2,14,12.1834981441,
49,CUP,SUM,0,0,0,0,0,3,28,11.2227091789,
49,SPOON,SUM,1,0,1,0,0,18,44,0,
49,,SUM,1,0,1,0,0,23,86,23.4062073231,
49,,,,,,,,,,,
50,,,,,,,,,,,
50,BOWL,SUM,1,0,1,0,8,9,44,0,
50,CUP,SUM,0,0,0,0,0,0,6,4.5915720463,
50,SPOON,SUM,0,0,0,0,0,7,29,15.854612112,
50,,SUM,1,0,1,0,8,16,79,20.4461841583,
50,,,,,,,,,,,
51,,,,,,,,,,,
51,BOWL,SUM,1,0,1,0,0,11,44,0,
51,CUP,SUM,0,0,0,0,60,11,24,32.5564930439,
51,SPOON,SUM,1,1,0,0,8,71,0,0,
51,,SUM,2,1,1,0,68,93,68,32.5564930439,
51,,,,,,,,,,,
52,,,,,,,,,,,
52,BOWL,SUM,1,0,1,0,0,28,44,0,
52,CUP,SUM,0,0,0,0,0,0,2,4.6323480606,
52,SPOON,SUM,0,0,0,0,0,4,20,13.4446179867,
52,,SUM,1,0,1,0,0,32,66,18.0769660473,
52,,,,,,,,,,,
53,,,,,,,,,,,
53,BOWL,SUM,1,0,1,0,0,8,44,0,
53,CUP,SUM,0,0,0,0,16,5,7,12.6101939678,
53,SPOON,SUM,0,0,0,0,0,2,0,10.2873198986,
53,,SUM,1,0,1,0,16,15,51,22.8975138664,
53,,,,,,,,,,,
54,,,,,,,,,,,
54,BOWL,SUM,1,0,1,0,0,341,0,0,
54,CUP,SUM,0,0,0,0,0,1,3,4.9721260071,
54,SPOON,SUM,0,0,0,0,0,3,16,12.8871209621,
54,,SUM,1,0,1,0,0,345,19,17.8592469692,
54,,,,,,,,,,,
55,,,,,,,,,,,
55,BOWL,SUM,1,0,1,0,0,24,44,0,
55,CUP,SUM,1,0,1,0,16,11,33,0,
55,SPOON,SUM,0,0,0,0,0,3,2,11.1226968765,
55,,SUM,2,0,2,0,16,38,79,11.1226968765,
55,,,,,,,,,,,
56,,,,,,,,,,,
56,BOWL,SUM,1,0,1,0,0,42,40,0,
56,CUP,SUM,0,0,0,0,0,0,9,4.9481818676,
56,SPOON,SUM,0,0,0,0,0,7,0,10.2461819649,
56,,SUM,1,0,1,0,0,49,49,15.1943638325,
56,,,,,,,,,,,
57,,,,,,,,,,,
57,BOWL,SUM,1,0,1,0,0,13,44,0,
57,CUP,SUM,0,0,0,0,8,6,8,9.9500939846,
57,SPOON,SUM,0,0,0,0,0,1,9,11.6489808559,
57,,SUM,1,0,1,0,8,20,61,21.5990748405,
57,,,,,,,,,,,
58,,,,,,,,,,,
58,BOWL,SUM,1,0,1,0,8,16,44,0,
58,CUP,SUM,0,0,0,0,32,5,18,21.36855793,
58,SPOON,SUM,0,0,0,0,0,4,22,15.7651488781,
58,,SUM,1,0,1,0,40,25,84,37.1337068081,
58,,,,,,,,,,,
59,,,,,,,,,,,
59,BOWL,SUM,0,0,0,0,0,15,17,10.7657368183,
59,CUP,SUM,1,0,0,1,0,5,36,0,
59,SPOON,SUM,0,0,0,0,14,9,34,23.7366280556,
59,,SUM,1,0,0,1,14,29,87,34.5023648739,
59,,,,,,,,,,,
60,,,,,,,,,,,
60,BOWL,SUM,0,0,0,0,8,28,3,12.7926268578,
60,CUP,SUM,1,1,0,0,88,7,0,0,
60,SPOON,SUM,1,0,1,0,0,56,40,0,
60,,SUM,2,1,1,0,96,91,43,12.7926268578,
60,,,,,,,,,,,
61,,,,,,,,,,,
61,BOWL,SUM,0,0,0,0,0,5,21,11.2028241158,
61,CUP,SUM,0,0,0,0,0,6,14,7.0317471027,
61,SPOON,SUM,0,0,0,0,0,2,0,10.2939629555,
61,,SUM,0,0,0,0,0,13,35,28.528534174,
61,,,,,,,,,,,
62,,,,,,,,,,,
62,BOWL,SUM,1,0,1,0,16,7,44,0,
62,CUP,SUM,1,0,0,1,0,3,11,0,
62,SPOON,SUM,1,0,1,0,0,13,44,0,
62,,SUM,3,0,2,1,16,23,99,0,
62,,,,,,,,,,,
63,,,,,,,,,,,
63,BOWL,SUM,0,0,0,0,0,6,37,14.1921870708,
63,CUP,SUM,1,0,0,1,0,5,17,0,
63,SPOON,SUM,0,0,0,0,0,1,7,12.4828801155,
63,,SUM,1,0,0,1,0,12,61,26.6750671864,
63,,,,,,,,,,,
64,,,,,,,,,,,
64,BOWL,SUM,0,0,0,0,0,9,50,17.8013710976,
